Time,W,A,C,S,Temperature
3.440000,0.002397,0.000713,2.144888,0.000063,29.832982
3.450000,0.002399,0.000713,2.144152,0.000062,29.833493
3.460000,0.002402,0.000713,2.143416,0.000062,29.833990
3.470000,0.002404,0.000714,2.142681,0.000061,29.834474
3.480000,0.002406,0.000714,2.141946,0.000060,29.834945
3.490000,0.002409,0.000714,2.141212,0.000060,29.835403
3.500000,0.002411,0.000715,2.140479,0.000059,29.835848
3.510000,0.002414,0.000715,2.139747,0.000059,29.836279
3.520000,0.002416,0.000715,2.139015,0.000058,29.836697
3.530000,0.002418,0.000716,2.138284,0.000058,29.837101
3.540000,0.002421,0.000716,2.137554,0.000057,29.837493
3.550000,0.002423,0.000716,2.136825,0.000057,29.837871
3.560000,0.002426,0.000717,2.136096,0.000056,29.838237
3.570000,0.002428,0.000717,2.135368,0.000056,29.838589
3.580000,0.002430,0.000718,2.134640,0.000055,29.838928
3.590000,0.002433,0.000718,2.133914,0.000055,29.839254
3.600000,0.002435,0.000718,2.133188,0.000054,29.839567
3.610000,0.002438,0.000719,2.132463,0.000054,29.839867
3.620000,0.002440,0.000719,2.131738,0.000053,29.840153
3.630000,0.002443,0.000719,2.131014,0.000053,29.840427
3.640000,0.002445,0.000720,2.130291,0.000052,29.840688
3.650000,0.002447,0.000720,2.129569,0.000052,29.840936
3.660000,0.002450,0.000720,2.128847,0.000051,29.841171
3.670000,0.002452,0.000721,2.128126,0.000051,29.841393
3.680000,0.002455,0.000721,2.127406,0.000050,29.841603
3.690000,0.002457,0.000721,2.126687,0.000050,29.841799
3.700000,0.002460,0.000722,2.125968,0.000049,29.841983
3.710000,0.002462,0.000722,2.125250,0.000049,29.842153
3.720000,0.002465,0.000723,2.124532,0.000049,29.842311
3.730000,0.002467,0.000723,2.123816,0.000048,29.842457
3.740000,0.002470,0.000723,2.123100,0.000048,29.842589
3.750000,0.002472,0.000724,2.122384,0.000047,29.842709
3.760000,0.002475,0.000724,2.121670,0.000047,29.842816
3.770000,0.002477,0.000724,2.120956,0.000046,29.842911
3.780000,0.002479,0.000725,2.120242,0.000046,29.842993
3.790000,0.002482,0.000725,2.119530,0.000046,29.843062
3.800000,0.002484,0.000725,2.118818,0.000045,29.843119
3.810000,0.002487,0.000726,2.118107,0.000045,29.843163
3.820000,0.002489,0.000726,2.117396,0.000044,29.843195
3.830000,0.002492,0.000727,2.116686,0.000044,29.843214
3.840000,0.002494,0.000727,2.115977,0.000043,29.843221
3.850000,0.002497,0.000727,2.115269,0.000043,29.843216
3.860000,0.002499,0.000728,2.114561,0.000043,29.843198
3.870000,0.002502,0.000728,2.113854,0.000042,29.843168
3.880000,0.002504,0.000728,2.113148,0.000042,29.843125
3.890000,0.002507,0.000729,2.112442,0.000042,29.843070
3.900000,0.002509,0.000729,2.111737,0.000041,29.843003
3.910000,0.002512,0.000729,2.111033,0.000041,29.842924
